name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,139860,57,N1010,2234,58161.29923082,900.0,0.6151662,29.792025,
cid_1205,43158739083084985,9813,505,139862,66,N1010,2234,58161.31000621,900.0,0.5886808,29.801445,
cid_1205,43158739083084985,9813,505,139864,58,N1010,2234,58161.32078161,900.0,0.6054282,29.796991,
cid_1205,43158739083084985,9813,505,139866,57,N1010,2234,58161.33155649,900.0,0.6158516,29.786062,
cid_1205,43158739083084985,9813,505,139868,57,N1010,2234,58161.34232957,900.0,0.6604966,29.793564,
cid_1205,43158739083084985,9813,505,139870,65,N1010,2234,58161.35311693,900.0,0.6764524,29.796902,
cid_1205,43158739083084985,9813,505,139872,66,N1010,2234,58161.36389263,900.0,0.6341963,29.806946,
cid_1205,43158739083084985,9813,505,139878,58,N1010,2234,58161.37977986,900.0,0.6412064,29.783602,
cid_1205,43158739083084985,9813,505,139880,57,N1010,2234,58161.39055705,900.0,0.6531289,29.79106,
cid_1205,43158739083084985,9813,505,139884,65,N1010,2234,58161.40870838,900.0,0.89610124,29.777075,
cid_1205,43158739083084985,9813,505,139886,57,N1010,2234,58161.41950248,900.0,0.7851239,29.773106,
cid_1205,43158739083084985,9813,505,140418,66,N1010,2235,58162.29133877,900.0,0.7438556,29.790129,
cid_1205,43158739083084985,9813,505,140420,58,N1010,2235,58162.30212167,900.0,0.66211665,29.78535,
cid_1205,43158739083084985,9813,505,140422,57,N1010,2235,58162.31289851,900.0,0.626741,29.789696,
cid_1205,43158739083084985,9813,505,140424,57,N1010,2235,58162.32367711,900.0,0.62604016,29.792543,
cid_1205,43158739083084985,9813,505,140426,57,N1010,2235,58162.33445071,900.0,0.7022318,29.79623,
cid_1205,43158739083084985,9813,505,140428,65,N1010,2235,58162.345222,900.0,0.74473023,29.805136,
cid_1205,43158739083084985,9813,505,140430,57,N1010,2235,58162.35599886,900.0,0.70284885,29.783888,
cid_1205,43158739083084985,9813,505,140432,57,N1010,2235,58162.36677927,900.0,0.6353444,29.793503,
cid_1205,43158739083084985,9813,505,140434,65,N1010,2235,58162.37755253,900.0,0.5558305,29.810863,
cid_1205,43158739083084985,9813,505,140436,57,N1010,2235,58162.38833669,900.0,0.5291302,29.80849,
cid_1205,43158739083084985,9813,505,140438,66,N1010,2235,58162.39910923,900.0,0.53254753,29.8164,
cid_1205,43158739083084985,9813,505,140440,58,N1010,2235,58162.40988404,900.0,0.64340025,29.802876,
cid_1205,43158739083084985,9813,505,140444,57,N1010,2235,58162.42372641,900.0,0.5683849,29.798243,
cid_1205,43158739083084985,9813,505,141470,58,N1010,2237,58164.3599163,900.0,1.1199499,29.745987,
cid_1205,43158739083084985,9813,505,141474,57,N1010,2237,58164.37217499,900.0,1.048572,29.749863,
cid_1205,43158739083084985,9813,505,141476,57,N1010,2237,58164.38305296,900.0,1.0722024,29.769693,
cid_1205,43158739083084985,9813,505,141478,57,N1010,2237,58164.39383556,900.0,1.1384051,29.73434,
cid_1205,43158739083084985,9813,505,141482,58,N1010,2237,58164.40775124,900.0,1.1531668,29.740896,
cid_1205,43158739083084985,9813,505,141484,58,N1010,2237,58164.41852326,900.0,0.8402083,29.771309,
cid_1205,43158739083084985,9813,505,142812,57,N1010,2243,58170.27235618,900.0,1.0320506,29.743076,
cid_1205,43158739083084985,9813,505,142814,66,N1010,2243,58170.28313358,900.0,0.9050138,29.768295,
cid_1205,43158739083084985,9813,505,142816,66,N1010,2243,58170.29390662,900.0,0.927944,29.782715,
cid_1205,43158739083084985,9813,505,142818,58,N1010,2243,58170.30467451,900.0,1.0900333,29.770153,
cid_1205,43158739083084985,9813,505,142820,57,N1010,2243,58170.31545045,900.0,1.1698457,29.713442,
cid_1205,43158739083084985,9813,505,142822,65,N1010,2243,58170.32622417,521.6,1.0804424,29.131748,
cid_1205,43158739083084985,9813,505,142824,66,N1010,2243,58170.39676446,900.0,0.7801645,29.776867,
cid_1205,43158739083084985,9813,505,142826,57,N1010,2243,58170.40753578,900.0,0.9819416,29.757273,
cid_1205,43158739083084985,9813,505,160886,57,N1010,2561,58488.40365477,900.0,0.83933866,29.720848,
cid_1205,43158739083084985,9813,505,160888,57,N1010,2561,58488.41443063,900.0,0.8422775,29.71852,
cid_1205,43158739083084985,9813,505,160890,57,N1010,2561,58488.42520523,900.0,0.8640103,29.719553,
