name,object_id,tract,patch,visit,ccd,filter,pointing,mjd,exptime,seeing,zeropt,maglimit
cid_1205,43158739083084985,9813,505,160886,57,N1010,2561,58488.40365477,900.0,0.83933866,29.720848,
cid_1205,43158739083084985,9813,505,160888,57,N1010,2561,58488.41443063,900.0,0.8422775,29.71852,
cid_1205,43158739083084985,9813,505,160890,57,N1010,2561,58488.42520523,900.0,0.8640103,29.719553,
cid_1205,43158739083084985,9813,505,160894,57,N1010,2561,58488.43788323,900.0,1.0091089,29.696678,
cid_1205,43158739083084985,9813,505,160896,58,N1010,2561,58488.44865649,900.0,0.8921408,29.73328,
cid_1205,43158739083084985,9813,505,160898,49,N1010,2561,58488.4594325,900.0,0.834663,29.717022,
cid_1205,43158739083084985,9813,505,160900,57,N1010,2561,58488.4702117,900.0,0.78251106,29.732538,
cid_1205,43158739083084985,9813,505,160902,57,N1010,2561,58488.48098692,900.0,0.85032433,29.72297,
cid_1205,43158739083084985,9813,505,160904,65,N1010,2561,58488.49176981,900.0,0.82509005,29.740322,
cid_1205,43158739083084985,9813,505,160906,58,N1010,2561,58488.50254688,900.0,0.7602129,29.738508,
cid_1205,43158739083084985,9813,505,160908,57,N1010,2561,58488.51332074,900.0,0.7173792,29.734987,
cid_1205,43158739083084985,9813,505,160910,65,N1010,2561,58488.52409184,900.0,0.77736104,29.741156,
cid_1205,43158739083084985,9813,505,160912,57,N1010,2561,58488.53486482,900.0,0.8491002,29.722057,
cid_1205,43158739083084985,9813,505,160914,65,N1010,2561,58488.5456366,900.0,1.1977085,29.696007,
cid_1205,43158739083084985,9813,505,160920,65,N1010,2561,58488.57795891,900.0,1.1753049,29.686096,
cid_1205,43158739083084985,9813,505,160932,65,N1010,2561,58488.64260989,900.0,1.0843004,29.71121,
cid_1205,43158739083084985,9813,505,160934,65,N1010,2561,58488.65338457,900.0,1.0926442,29.696177,
